campaign_id,date,channel,campaign_name,country,segment,impressions,clicks,conversions,spend,revenue
CAMP-00839,2025-01-08,email,Optimized object-oriented concept Email NE,Netherlands,new,9298,1629,84,466.75,10076.93
CAMP-03972,2025-01-03,display,Versatile hybrid migration Display GE,Germany,new,19240,62,1,716.08,149.59
CAMP-00706,2026-02-06,social,Monitored non-volatile info-mediaries Social IT,Italy,vip,30999,1357,40,665.97,4964.26
CAMP-04151,2025-12-23,search,Right-sized real-time instruction set Search FR,France,vip,83653,7888,246,786.19,28765.48
CAMP-03180,2024-06-12,social,Robust systematic policy Social GE,Germany,vip,94749,3789,149,1696.76,14751.92
CAMP-04777,2025-07-08,search,Re-contextualized methodical contingency Search GE,Germany,vip,199018,15347,420,1048.97,62237.49
CAMP-00229,2026-04-09,search,Versatile regional help-desk Search NE,Netherlands,vip,38673,1239,48,,5367.93
CAMP-03337,2025-07-01,social,Visionary explicit protocol Social FR,France,returning,18624,756,17,,2399.28
CAMP-02269,2025-02-02,email,Reactive solution-oriented open system Email NE,Netherlands,new,41678,4437,208,938.39,18505.65
CAMP-03853,2026-05-10,social,Self-enabling optimizing help-desk Social SP,Spain,vip,3297,98,3,2426.62,399.37
CAMP-00502,2025-06-24,email,Organic dynamic complexity Email SP,Spain,vip,4436,1020,37,,5203.19
CAMP-03129,2024-09-16,social,Adaptive content-based extranet Social IT,,vip,6823,254,7,522.08,726.68
CAMP-03353,2025-07-11,social,Implemented reciprocal complexity Social NE,Netherlands,returning,24168,817,19,673.56,1895.47
CAMP-04175,2025-11-14,search,Fully-configurable well-modulated function Search IT,Italy,returning,30174,3983,151,1434.91,14147.04
CAMP-01635,2024-11-09,search,Inverse logistical leverage Search GE,Germany,new,21578,1557,77,911.83,10873.58
CAMP-01481,2024-09-16,social,Optimized optimal encoding Social IT,Italy,vip,7228,167,4,1015.93,349.06
CAMP-02116,2025-08-02,search,Persevering multimedia matrices Search FR,France,returning,55600,1154,26,2190.17,2405.25
CAMP-04000,2024-06-12,search,Re-contextualized explicit benchmark Search NE,Netherlands,vip,94893,8871,351,696.56,38895.33
CAMP-00562,2024-11-10,social,Mandatory 3rdgeneration array Social SP,Spain,new,21862,916,25,1535.0,2923.44
CAMP-04199,2025-07-14,email,Seamless bi-directional installation Email NE,Netherlands,vip,45219,10055,409,2566.37,47041.44
CAMP-03698,2025-12-09,email,Re-engineered intangible capacity Email IT,Italy,new,4611,740,22,1340.36,2780.12
CAMP-01745,2026-02-13,display,Innovative 3rdgeneration Local Area Network Display NE,Netherlands,new,31337,58,0,628.31,0.0
CAMP-00280,2025-12-06,display,Stand-alone solution-oriented process improvement Display FR,France,vip,36774,57,0,1895.92,0.0
CAMP-02267,2026-05-05,display,Intuitive foreground adapter Display NE,Netherlands,new,34211,75,1,,114.33
CAMP-00158,2025-07-19,display,Multi-channeled uniform neural-net Display GE,Germany,vip,27398,58,1,897.03,114.68
CAMP-00539,2024-12-09,social,Distributed empowering parallelism Social SP,Spain,returning,8736,371,15,816.36,1655.15
CAMP-04115,2025-05-18,email,Decentralized intermediate matrices Email SP,Spain,vip,24529,5073,157,1454.55,18350.84
CAMP-04458,2025-11-01,social,Distributed multi-tasking algorithm Social FR,,new,10299,490,11,1104.05,1065.38
CAMP-01651,2026-02-04,search,Exclusive 6thgeneration Local Area Network Search NE,Netherlands,vip,17588,1466,48,450.0,6407.35
CAMP-03151,2025-10-03,social,Operative 3rdgeneration knowledge user Social IT,Italy,returning,20194,782,13,1704.26,1501.66
CAMP-00765,2024-07-23,search,Extended national migration Search IT,Italy,vip,58834,3505,192,1285.45,21554.47
CAMP-01865,2024-12-07,search,Balanced dynamic process improvement Search NE,Netherlands,new,14323,1022,40,916.05,4216.76
CAMP-03486,2025-09-26,display,Down-sized intangible matrix Display FR,France,new,32741,128,4,552.87,485.32
CAMP-00732,2025-12-12,display,Integrated asynchronous groupware Display IT,Italy,vip,41184,82,2,,215.44
CAMP-00085,2024-12-11,email,Grass-roots dedicated artificial intelligence Email FR,France,new,13408,2447,62,1593.53,6915.36
CAMP-02581,2025-06-18,social,Re-contextualized 6thgeneration portal Social GE,Germany,returning,7755,287,9,965.23,1337.21
CAMP-03208,2024-09-05,search,Organic homogeneous intranet Search NE,Netherlands,vip,29081,2903,75,,9103.27
CAMP-02975,2025-04-22,social,Versatile contextually-based adapter Social FR,France,new,45904,1694,3,970.9,326.16
CAMP-02697,2024-12-02,display,Decentralized exuding portal Display IT,Italy,new,25081,57,1,769.81,109.71
CAMP-01339,2025-05-20,display,Expanded human-resource encoding Display IT,Italy,new,12007,30,1,639.82,82.82
CAMP-03903,2026-04-28,display,Mandatory non-volatile moratorium Display SP,Spain,new,29657,37,1,737.89,93.47
CAMP-00912,2025-02-20,search,Robust scalable concept Search GE,Germany,vip,26239,1710,61,1002.59,7486.31
CAMP-00030,2025-07-04,display,Assimilated explicit service-desk Display SP,Spain,new,108132,381,10,969.21,1428.05
CAMP-00678,2025-07-07,social,Team-oriented 24hour encoding Social SP,Spain,vip,21096,555,23,3105.4,1866.15
CAMP-04502,2025-10-21,search,Organic directional open system Search IT,Italy,returning,25733,2004,81,886.24,8622.89
CAMP-03686,2025-12-16,email,Optimized multimedia data-warehouse Email FR,France,returning,10884,1693,45,1829.35,5554.74
CAMP-03742,2024-09-17,email,Customizable homogeneous function Email FR,France,new,8246,1603,57,582.63,4952.31
CAMP-01621,2026-03-31,search,Multi-layered value-added capability Search IT,Italy,vip,83453,4635,128,623.9,17837.83
CAMP-00423,2026-03-20,email,Horizontal 6thgeneration budgetary management Email IT,Italy,vip,47115,11632,373,816.49,36156.84
CAMP-01666,2024-06-04,social,Realigned national open architecture Social GE,Germany,vip,20483,495,12,1065.44,972.16
CAMP-04990,2025-08-07,email,Enhanced next generation open system Email FR,France,returning,7362,1226,34,,5053.33
CAMP-02728,2026-04-06,email,Multi-channeled mission-critical help-desk Email GE,Germany,new,5617,1209,41,584.09,5865.4
CAMP-03194,2026-01-28,social,Intuitive non-volatile circuit Social SP,Spain,returning,10250,516,17,653.2,2545.96
CAMP-03969,2025-04-03,display,Persistent analyzing access Display FR,France,vip,41563,88,2,1348.52,233.1
CAMP-00169,2026-03-11,social,Stand-alone fault-tolerant definition Social IT,Italy,vip,14151,746,18,2554.49,2044.64
CAMP-03835,2025-10-28,email,Enhanced discrete encryption Email NE,Netherlands,vip,13909,2318,82,650.32,7450.04
CAMP-03482,2025-06-07,display,Intuitive exuding architecture Display FR,France,new,35850,24,0,826.99,0.0
CAMP-03470,2024-06-27,search,Cross-group human-resource definition Search FR,,new,16177,1371,31,2960.93,3146.64
CAMP-00228,2026-04-12,social,Horizontal bandwidth-monitored neural-net Social IT,Italy,new,13819,438,12,589.35,1744.46
CAMP-02655,2025-04-17,search,Function-based user-facing secured line Search IT,Italy,new,16628,1719,59,3130.29,5169.37
CAMP-00487,2026-01-10,display,Progressive responsive definition Display NE,Netherlands,new,54205,110,3,737.9,390.88
CAMP-01695,2025-07-19,social,Up-sized impactful migration Social GE,Germany,returning,7073,334,4,1349.9,587.57
CAMP-01201,2025-02-08,search,Cross-group neutral workforce Search FR,France,vip,39567,2862,103,1045.3,10013.66
CAMP-02686,2026-05-08,display,Programmable even-keeled projection Display FR,France,new,103963,267,8,2629.17,865.37
CAMP-03173,2026-01-07,social,Persistent well-modulated product Social GE,Germany,vip,8736,322,12,2081.23,1245.33
CAMP-00024,2025-04-13,search,Horizontal local help-desk Search FR,France,vip,47660,3804,143,550.11,19063.81
CAMP-03085,2025-06-14,display,Face-to-face 5thgeneration alliance Display IT,Italy,new,42644,60,2,1336.87,282.38
CAMP-03131,2025-02-12,email,User-friendly intangible emulation Email IT,Italy,vip,40549,7382,263,817.88,38048.02
CAMP-02537,2026-02-23,email,Sharable asymmetric open system Email NE,Netherlands,new,25854,5276,126,2443.21,14302.15
CAMP-02898,2025-08-28,email,Reactive multimedia time-frame Email IT,Italy,returning,15589,2197,67,369.2,8986.89
CAMP-04841,2026-01-10,display,Business-focused maximized benchmark Display IT,Italy,returning,65968,134,2,577.12,204.25
CAMP-02094,2025-02-19,search,Cross-platform zero tolerance extranet Search NE,Netherlands,vip,10390,784,29,1204.47,3838.62
CAMP-00240,2025-10-20,display,Multi-lateral actuating interface Display IT,Italy,vip,13063,13,0,2783.7,0.0
CAMP-03572,2026-04-29,social,Expanded analyzing knowledgebase Social IT,Italy,returning,15410,696,33,,3632.78
CAMP-03766,2024-08-28,search,Reverse-engineered coherent instruction set Search FR,France,new,128097,12406,490,594.35,65380.43
CAMP-02017,2024-10-30,search,Face-to-face interactive open system Search NE,Netherlands,vip,26422,1235,49,688.58,6540.56
CAMP-04039,2025-02-24,search,Profound well-modulated service-desk Search FR,,new,96868,8232,390,488.52,55770.64
CAMP-00298,2025-12-17,search,Ameliorated discrete emulation Search SP,Spain,vip,57731,4823,121,898.86,11352.58
CAMP-00249,2026-05-08,search,Seamless value-added productivity Search GE,Germany,new,10153,919,27,1527.66,3683.33
CAMP-02136,2025-03-06,display,Cross-platform next generation software Display NE,Netherlands,vip,27702,70,2,507.6,249.22
CAMP-00374,2024-10-02,search,Realigned secondary Internet solution Search NE,Netherlands,vip,17756,1135,31,1101.16,2496.63
CAMP-00882,2025-02-09,social,Business-focused user-facing database Social FR,France,vip,14841,937,40,760.53,3677.3
CAMP-02308,2024-07-29,social,Ameliorated responsive budgetary management Social NE,Netherlands,new,9386,256,10,3112.8,884.52
CAMP-03888,2025-05-07,display,Multi-channeled composite benchmark Display NE,Netherlands,new,54436,118,4,892.38,404.29
CAMP-04504,2025-11-08,search,Progressive background synergy Search FR,France,returning,40617,2927,58,3772.48,5615.7
CAMP-02992,2024-11-25,display,Secured reciprocal firmware Display GE,Germany,new,63538,152,3,770.31,363.9
CAMP-00725,2024-11-24,search,Switchable local definition Search GE,Germany,new,17332,722,19,964.8,1758.11
CAMP-02221,2024-07-08,search,Synchronized real-time database Search IT,Italy,new,9792,722,30,809.75,4151.94
CAMP-02218,2025-04-21,social,Progressive hybrid customer loyalty Social FR,,returning,4315,298,8,1253.48,791.11
CAMP-01469,2025-04-04,email,Digitized bi-directional function Email GE,Germany,new,22844,3601,124,439.92,12303.05
CAMP-01593,2026-04-04,search,Mandatory optimizing definition Search IT,Italy,vip,15091,1076,47,366.12,6879.1
CAMP-03952,2024-10-26,social,Intuitive encompassing success Social IT,Italy,vip,8372,376,13,992.2,1497.62
CAMP-02446,2025-01-13,email,Cloned analyzing superstructure Email IT,Italy,vip,10013,2369,68,2879.39,6397.16
CAMP-03092,2024-09-25,display,Assimilated even-keeled middleware Display SP,Spain,new,57181,109,5,1824.52,704.37
CAMP-00928,2025-03-25,search,Diverse system-worthy info-mediaries Search FR,France,returning,66016,7497,341,1498.51,43397.76
CAMP-04580,2025-08-06,email,User-centric impactful access Email GE,Germany,returning,11306,2448,54,1442.23,6931.29
CAMP-04653,2024-06-02,search,Reduced asynchronous solution Search NE,Netherlands,new,44866,6139,203,674.06,22585.58
CAMP-00600,2025-07-06,display,Balanced high-level Internet solution Display SP,Spain,returning,92719,165,3,563.4,347.22
CAMP-01393,2025-04-29,display,Distributed didactic utilization Display NE,Netherlands,returning,36787,76,1,629.4,109.71
CAMP-02228,2025-10-10,search,Face-to-face non-volatile extranet Search IT,Italy,new,54415,4327,90,1437.73,8039.33
CAMP-04177,2024-07-20,display,Pre-emptive attitude-oriented benchmark Display GE,Germany,vip,16865,52,2,1240.16,168.12
CAMP-01610,2025-08-23,email,Organized static help-desk Email FR,France,vip,62378,4281,62,2427.24,6664.69
CAMP-04291,2025-04-16,search,Balanced didactic customer loyalty Search IT,Italy,returning,32508,1889,55,1267.45,7247.29
CAMP-02877,2025-04-05,social,Networked human-resource moratorium Social FR,France,vip,37763,1204,34,1279.23,3565.46
CAMP-03289,2026-04-08,search,Pre-emptive multi-state interface Search SP,,vip,8623,1051,25,861.22,3597.54
CAMP-02143,2026-03-09,email,Distributed radical array Email NE,Netherlands,vip,50078,6403,207,510.66,30779.45
CAMP-00472,2025-07-03,social,Team-oriented bi-directional array Social GE,Germany,returning,27609,1349,27,1413.17,3815.42
CAMP-01245,2024-08-22,social,Multi-lateral 5thgeneration knowledge user Social GE,Germany,new,6641,395,19,1388.18,2075.21
CAMP-03691,2025-03-08,display,Enhanced user-facing conglomeration Display FR,France,vip,96370,234,7,524.6,1021.16
CAMP-04222,2024-12-27,social,Stand-alone zero administration parallelism Social FR,France,returning,37354,1465,35,1626.72,2918.64
CAMP-01074,2025-01-17,social,Re-contextualized fault-tolerant open system Social FR,France,returning,5678,255,7,382.65,602.2
CAMP-01045,2025-02-16,email,Synergized actuating service-desk Email NE,Netherlands,vip,3061,888,28,1392.55,2367.2
CAMP-01715,2024-07-03,display,Optimized intermediate Local Area Network Display FR,France,new,25690,85,2,1704.59,200.2
CAMP-04041,2025-09-01,social,Secured value-added knowledge user Social SP,Spain,new,6241,248,6,5825.16,697.53
CAMP-04779,2024-09-20,display,Digitized 6thgeneration instruction set Display NE,Netherlands,vip,25668,45,1,2154.76,97.08
CAMP-01035,2025-02-16,social,User-friendly bottom-line approach Social IT,Italy,new,6921,369,9,2621.9,1025.72
CAMP-04418,2025-06-05,search,Customer-focused actuating toolset Search SP,Spain,vip,29022,2712,80,679.94,8071.39
CAMP-01753,2024-09-20,display,Realigned intangible structure Display GE,Germany,vip,22866,49,1,1159.52,94.32
CAMP-03650,2024-12-18,search,Cross-platform value-added database Search FR,France,new,210944,21246,269,1587.77,40295.65
CAMP-04809,2025-07-16,social,Future-proofed real-time open system Social NE,Netherlands,new,5664,343,15,993.76,1549.12
CAMP-01555,2025-01-08,email,Assimilated tangible strategy Email GE,Germany,vip,7067,1561,37,488.43,4192.6
CAMP-04196,2026-02-01,search,Switchable disintermediate contingency Search GE,Germany,new,9031,1030,32,2559.97,3101.32
CAMP-02987,2025-07-17,display,Business-focused mission-critical definition Display NE,Netherlands,vip,22827,72,2,1829.62,298.63
CAMP-02722,2025-10-08,display,Realigned stable hierarchy Display IT,Italy,vip,35221,89,2,5688.63,262.66
CAMP-00830,2024-11-28,email,Enhanced regional forecast Email IT,Italy,new,29183,7629,209,4919.62,24454.25
CAMP-01096,2025-02-24,search,Polarized stable encoding Search SP,Spain,new,7482,464,16,1304.17,2127.6
CAMP-00427,2025-08-21,search,Multi-tiered hybrid collaboration Search IT,Italy,vip,27936,2338,89,651.79,9090.36
CAMP-02146,2025-02-21,display,Multi-tiered composite array Display IT,Italy,vip,34529,73,3,2679.69,357.7
CAMP-03136,2025-12-26,email,Self-enabling mobile website Email IT,Italy,new,13484,4142,155,285.17,16524.15
CAMP-04161,2025-06-28,search,Progressive multi-tasking benchmark Search SP,Spain,returning,29427,2517,87,1257.36,10470.1
CAMP-04065,2025-01-26,email,Inverse web-enabled utilization Email GE,Germany,returning,103904,29059,887,1207.23,88832.0
CAMP-04343,2024-09-17,display,Enhanced high-level projection Display SP,Spain,returning,128266,217,4,1621.59,414.94
CAMP-04952,2026-05-17,social,Open-architected reciprocal product Social NE,Netherlands,returning,18299,1052,29,1670.45,4314.91
CAMP-03581,2025-02-24,social,Profit-focused dynamic circuit Social FR,,new,18477,801,27,726.85,3132.44
CAMP-04231,2025-03-26,display,Down-sized 3rdgeneration methodology Display SP,Spain,new,15220,32,0,799.85,0.0
CAMP-02663,2026-03-17,search,Pre-emptive static project Search NE,Netherlands,returning,41382,1852,64,566.75,6426.61
CAMP-02706,2025-06-18,email,De-engineered exuding policy Email NE,Netherlands,new,6959,2011,46,1330.55,6775.32
CAMP-01324,2024-11-30,search,Exclusive radical support Search IT,Italy,new,7454,569,14,832.06,1223.4
CAMP-04130,2025-07-31,email,Robust local encryption Email GE,Germany,new,12330,1454,41,1442.31,5798.38
CAMP-03985,2024-10-09,email,Phased bandwidth-monitored Internet solution Email NE,Netherlands,returning,3563,776,38,519.75,5457.54
CAMP-04826,2024-09-11,social,Customer-focused transitional knowledgebase Social IT,Italy,new,6878,421,11,,1081.25
CAMP-04460,2025-02-06,search,User-friendly local website Search IT,Italy,vip,23992,2115,3,1810.15,305.34
CAMP-02884,2025-02-23,social,Profit-focused fault-tolerant process improvement Social IT,Italy,vip,8547,413,14,794.83,1813.73
CAMP-02118,2025-04-21,display,Ameliorated maximized standardization Display SP,Spain,vip,179836,245,8,3610.37,754.94
CAMP-00654,2026-03-08,search,Automated executive matrices Search SP,Spain,returning,29929,2954,70,1143.62,7687.99
CAMP-04437,2024-11-26,social,Stand-alone dedicated conglomeration Social GE,Germany,new,51298,2062,29,926.35,4289.92
CAMP-01019,2025-01-17,display,Enterprise-wide static encryption Display SP,Spain,new,43564,103,2,,216.32
CAMP-00089,2026-04-24,email,Grass-roots heuristic monitoring Email IT,Italy,returning,20989,5329,108,,9670.97
CAMP-01130,2025-03-25,email,Exclusive solution-oriented definition Email FR,France,new,24704,3419,80,585.43,9006.73
CAMP-03774,2025-02-22,search,Digitized hybrid synergy Search IT,Italy,vip,26846,1738,42,503.42,5604.53
CAMP-00009,2025-03-11,search,Decentralized 6thgeneration pricing structure Search FR,France,new,33106,2409,36,712.01,4968.42
CAMP-01887,2025-01-19,search,Object-based multimedia collaboration Search NE,Netherlands,returning,17725,1661,74,1694.08,7548.99
CAMP-01663,2025-02-16,search,Enterprise-wide multi-tasking toolset Search GE,Germany,vip,34259,4294,139,662.18,12036.67
CAMP-03911,2025-03-24,search,Polarized global secured line Search NE,Netherlands,new,20459,1580,37,1062.56,3722.11
CAMP-00682,2024-11-10,search,Total interactive conglomeration Search FR,,returning,59084,8648,268,661.81,28568.41
CAMP-03774,2025-02-22,search,Digitized hybrid synergy Search IT,Italy,vip,26846,1738,42,503.42,5604.53
CAMP-03659,2026-03-20,search,Stand-alone national definition Search FR,France,vip,37710,5209,135,,14705.43
CAMP-00145,2025-09-29,search,Pre-emptive regional knowledgebase Search FR,France,new,27206,2933,56,1586.94,5629.14
CAMP-00995,2026-01-06,social,Expanded analyzing functionalities Social IT,Italy,new,2632,129,3,2256.28,339.1
CAMP-03653,2024-06-24,social,Customer-focused systemic help-desk Social FR,France,vip,10612,556,10,1093.13,880.72
CAMP-01742,2026-03-30,search,Future-proofed static product Search GE,Germany,returning,31264,3101,111,547.53,15649.12
CAMP-03341,2026-05-13,email,Multi-layered intermediate project Email GE,Germany,vip,11596,1500,40,2562.92,4409.39
CAMP-03836,2026-03-05,social,Open-architected client-driven alliance Social NE,Netherlands,returning,7504,307,10,2619.62,860.32
CAMP-02742,2026-02-08,display,Synchronized upward-trending throughput Display IT,Italy,vip,33735,70,2,1155.44,175.56
CAMP-00152,2024-06-27,email,Fully-configurable fresh-thinking concept Email SP,Spain,vip,9619,2005,92,2813.82,11642.84
CAMP-01671,2025-09-26,display,Proactive zero tolerance frame Display NE,Netherlands,new,198153,512,3,781.21,432.25
CAMP-03918,2024-08-22,search,Multi-tiered interactive monitoring Search FR,France,returning,49242,4480,210,,25159.15
CAMP-01832,2024-10-01,social,Secured even-keeled neural-net Social NE,Netherlands,vip,4382,244,10,,1016.89
CAMP-00241,2025-01-06,social,Assimilated object-oriented ability Social IT,Italy,vip,8541,206,9,2010.0,1110.28
CAMP-00849,2025-02-25,email,Inverse bandwidth-monitored standardization Email NE,Netherlands,new,19938,2830,41,1005.32,5049.71
CAMP-02173,2024-09-27,social,Virtual demand-driven frame Social IT,Italy,vip,9206,659,16,3000.62,1659.28
CAMP-01882,2024-09-23,email,Total encompassing structure Email FR,France,vip,8238,1913,28,1270.45,3110.08
CAMP-00857,2024-08-10,display,Open-architected demand-driven data-warehouse Display FR,France,new,107029,270,7,1268.86,952.9
CAMP-03356,2025-06-12,email,Adaptive analyzing projection Email GE,Germany,new,6544,1303,10,1827.57,1109.78
CAMP-01414,2026-02-10,display,Managed 24hour capability Display FR,France,new,29739,52,1,491.96,139.39
CAMP-00965,2025-12-11,social,Proactive zero tolerance service-desk Social IT,Italy,new,4530,151,5,1812.86,556.83
CAMP-01418,2025-04-14,social,Team-oriented zero tolerance application Social IT,Italy,returning,4237,141,4,394.41,445.76
CAMP-02750,2026-03-14,display,Mandatory demand-driven orchestration Display FR,France,new,76510,165,5,1520.64,414.91
CAMP-00458,2026-02-11,display,Open-source reciprocal product Display SP,Spain,new,33931,42,0,1805.35,0.0
CAMP-01104,2026-04-09,search,Ameliorated intermediate encryption Search NE,Netherlands,new,66942,3780,124,1279.91,13523.13
CAMP-01437,2026-04-16,display,Operative object-oriented website Display NE,Netherlands,vip,13418,30,0,793.72,0.0
CAMP-04760,2024-10-09,email,Ameliorated encompassing synergy Email GE,Germany,returning,2853,681,21,346.26,2628.61
CAMP-04085,2026-01-07,search,Fully-configurable 6thgeneration implementation Search SP,Spain,vip,337300,34932,639,692.03,87584.87
CAMP-01591,2025-08-27,social,Compatible multimedia analyzer Social NE,Netherlands,new,28889,1326,18,1389.88,1770.81
CAMP-03387,2025-03-24,social,Public-key heuristic access Social SP,Spain,new,18272,641,18,883.76,1452.82
CAMP-00466,2025-06-13,social,Implemented multi-state focus group Social NE,Netherlands,new,8126,266,3,1118.28,248.18
CAMP-02674,2024-12-04,search,Reverse-engineered 3rdgeneration installation Search NE,Netherlands,new,74975,7499,166,2313.37,19349.0
CAMP-03258,2025-04-28,search,Programmable zero administration open architecture Search FR,France,vip,186173,17608,790,1851.76,67755.71
CAMP-04294,2025-02-21,display,Persevering heuristic strategy Display FR,France,returning,35600,84,2,3715.38,292.02
